"sampleID","peak_or_trough","CI_start_ID","CI_end_ID","CI_width"
"7297",1,539,729,0.191
"7301",1,543,657,0.115
"7305",1,455,730,0.276
"7309",1,570,691,0.122
"7313",1,546,799,0.254
"7317",1,546,755,0.21
"7321",1,477,684,0.208
"7325",1,534,684,0.151
"7329",1,540,766,0.227
"7329",-1,929,972,0.044
"7333",1,497,683,0.187
"7337",1,506,752,0.247
"7341",1,492,637,0.146
"7345",1,539,708,0.17
"7349",1,560,756,0.197
"7353",1,471,701,0.231
"7357",1,500,720,0.221
"7361",1,564,699,0.136
"7365",1,536,740,0.205
"7369",1,481,758,0.278
"7373",1,499,676,0.178
"7377",1,474,696,0.223
"7381",1,519,639,0.121
"7385",1,542,630,0.089
"7389",1,488,652,0.165
"7393",1,514,641,0.128
"7397",1,542,732,0.191
"7401",1,584,765,0.182
"7405",1,532,655,0.124
"7409",1,485,704,0.22
"7413",1,542,690,0.149
"7417",1,546,707,0.162
"7421",1,470,653,0.184
"7425",1,488,628,0.141
"7429",1,497,686,0.19
"7433",1,507,704,0.198
"7437",1,496,703,0.208
"7441",1,494,710,0.217
"7445",1,552,963,0.412
"7449",1,543,699,0.157
"7453",1,510,639,0.13
"7457",-1,57,122,0.066
"7457",1,610,755,0.146
"7461",1,502,761,0.26
"7465",1,477,716,0.24
"7469",1,492,622,0.131
"7473",1,518,752,0.235
"7477",1,484,739,0.256
"7481",1,547,734,0.188
"7485",-1,73,288,0.216
"7485",1,504,608,0.105
"7489",1,486,738,0.253
"7493",1,520,680,0.161
"7497",1,551,641,0.091
"7501",1,528,746,0.219
"7505",-1,78,270,0.193
"7505",1,584,700,0.117
"7509",1,548,645,0.098
"7513",1,550,647,0.098
"7517",1,525,698,0.174
"7521",1,512,760,0.249
"7525",1,555,680,0.126
"7529",1,530,960,0.431
"7533",1,548,701,0.154
"7537",1,537,651,0.115
"7541",1,500,536,0.037
"7545",1,543,698,0.156
"7549",1,581,696,0.116
"7553",1,580,958,0.379
"7557",1,436,651,0.216
"7561",1,545,692,0.148
"7565",1,539,726,0.188
"7569",1,501,675,0.175
"7573",1,562,694,0.133
"7573",-1,943,974,0.032
"7577",1,479,685,0.207
"7581",1,510,698,0.189
"7585",1,541,754,0.214
"7589",1,487,692,0.206
"7593",-1,64,139,0.076
"7593",1,533,779,0.247
"7597",1,517,861,0.345
"7601",1,495,660,0.166
"7605",1,511,688,0.178
"7609",1,526,777,0.252
"7613",1,512,753,0.242
"7617",1,504,688,0.185
"7621",1,546,695,0.15
"7625",1,545,721,0.177
"7625",-1,918,970,0.053
"7629",1,525,738,0.214
"7629",-1,912,978,0.067
"7633",1,490,735,0.246
"7637",1,509,696,0.188
"7641",1,451,753,0.303
"7645",1,526,757,0.232
"7649",1,515,765,0.251
"7653",1,555,713,0.159
"7657",1,489,692,0.204
"7661",1,555,694,0.14
"7665",1,530,656,0.127
"7669",1,427,700,0.274
"7673",1,506,699,0.194
"7677",1,48,94,0.047
"7677",-1,146,183,0.038
"7677",1,533,561,0.029
"7677",-1,646,670,0.025
"7677",1,728,779,0.052
"7681",-1,35,165,0.131
"7681",1,497,708,0.212
"7685",1,488,719,0.232
"7689",1,537,642,0.106
"7689",-1,880,956,0.077
"7693",1,520,693,0.174
"7697",1,536,748,0.213
"7701",1,542,698,0.157
"7705",1,522,647,0.126
"7709",1,437,658,0.222
"7713",1,562,663,0.102
"7717",1,491,699,0.209
"7721",1,520,759,0.24
"7725",1,574,966,0.393
"7729",1,444,727,0.284
"7733",1,553,755,0.203
"7737",0,0,0,0
"7741",1,534,657,0.124
"7745",1,514,680,0.167
"7749",1,558,791,0.234
"7753",1,530,691,0.162
"7757",1,469,706,0.238
"7761",1,579,726,0.148
"7765",1,518,736,0.219
"7769",1,479,735,0.257
"7773",1,531,738,0.208
"7777",1,556,696,0.141
"7781",1,486,732,0.247
"7785",1,477,706,0.23
"7789",1,484,679,0.196
"7793",1,444,660,0.217
"7797",1,547,745,0.199
"7801",1,620,756,0.137
"7805",1,484,691,0.208
"7809",1,560,743,0.184
"7813",1,451,662,0.212
"7817",1,437,817,0.381
"7821",1,499,651,0.153
"7825",1,404,665,0.262
"7829",1,579,698,0.12
"7833",1,504,701,0.198
"7837",1,482,699,0.218
"7841",1,491,693,0.203
"7845",1,351,698,0.348
"7849",1,595,733,0.139
"7853",1,482,784,0.303
"7857",1,419,707,0.289
"7861",1,490,659,0.17
"7865",1,489,687,0.199
"7869",1,546,740,0.195
"7873",1,499,672,0.174
"7877",1,550,798,0.249
"7881",-1,113,206,0.094
"7881",1,441,645,0.205
"7885",1,497,725,0.229
"7889",1,504,752,0.249
"7893",1,545,735,0.191
"7897",1,536,674,0.139
"7901",1,603,710,0.108
"7905",1,529,689,0.161
"7909",1,530,709,0.18
"7913",1,521,731,0.211
"7917",1,477,618,0.142
"7921",1,528,645,0.118
"7925",1,545,693,0.149
"7929",1,507,660,0.154
"7933",1,494,690,0.197
"7937",1,532,726,0.195
"7941",1,445,672,0.228
"7945",1,534,726,0.193
"7949",1,548,694,0.147
"7953",1,543,742,0.2
"7957",1,484,652,0.169
"7961",1,513,635,0.123
"7965",1,487,727,0.241
"7969",1,517,739,0.223
"7973",1,462,711,0.25
"7977",1,492,750,0.259
"7981",1,539,598,0.06
"7985",1,514,611,0.098
"7989",1,596,754,0.159
"7989",-1,955,982,0.028
"7993",1,479,687,0.209
"7997",1,528,720,0.193
"6002",1,544,747,0.204
"6006",0,0,0,0
"6010",1,521,757,0.237
"6014",0,0,0,0
"6018",1,456,672,0.217
"6022",1,485,740,0.256
"6022",-1,910,971,0.062
"6026",1,505,737,0.233
"6030",1,511,635,0.125
"6034",1,560,657,0.098
"6038",1,536,602,0.067
"6042",1,36,177,0.142
"6042",-1,181,298,0.118
"6042",1,491,689,0.199
"6046",0,0,0,0
"6050",1,474,728,0.255
"6054",0,0,0,0
"6058",1,560,791,0.232
"6062",1,488,680,0.193
"6066",0,0,0,0
"6070",-1,39,174,0.136
"6074",1,530,802,0.273
"6078",1,360,797,0.438
"6082",1,414,644,0.231
"6086",1,535,821,0.287
"6090",0,0,0,0
"6094",1,577,692,0.116
"6094",-1,896,970,0.075
"6098",1,538,701,0.164
"6102",1,496,783,0.288
"6106",1,458,761,0.304
"6110",1,502,705,0.204
"6114",1,522,699,0.178
"6118",1,459,772,0.314
"6122",1,555,730,0.176
"6126",1,529,679,0.151
"6130",1,527,701,0.175
"6134",1,443,684,0.242
"6138",1,476,857,0.382
"6142",1,493,703,0.211
"6146",1,420,635,0.216
"6150",0,0,0,0
"6154",1,515,704,0.19
"6158",0,0,0,0
"6162",1,540,778,0.239
"6166",1,498,693,0.196
"6170",-1,125,218,0.094
"6170",1,407,797,0.391
"6174",1,465,861,0.397
"6178",1,505,685,0.181
"6182",1,394,756,0.363
"6186",0,0,0,0
"6190",1,427,692,0.266
"6194",1,524,792,0.269
"6198",1,539,787,0.249
"6202",1,408,746,0.339
"6206",1,554,752,0.199
"6210",0,0,0,0
"6214",1,552,821,0.27
"6218",0,0,0,0
"6222",0,0,0,0
"6226",1,527,739,0.213
"6230",1,498,779,0.282
"6234",1,535,748,0.214
"6238",1,494,815,0.322
"6242",1,421,685,0.265
"6246",0,0,0,0
"6250",1,602,692,0.091
"6254",0,0,0,0
"6258",1,540,818,0.279
"6262",1,540,680,0.141
"6266",1,506,712,0.207
"6270",1,547,789,0.243
"6274",1,534,706,0.173
"6278",1,524,748,0.225
"6282",1,454,644,0.191
"6286",1,622,733,0.112
"6290",1,579,733,0.155
"6294",1,504,696,0.193
"6298",0,0,0,0
"6302",0,0,0,0
"6306",1,459,747,0.289
"6310",1,565,958,0.394
"6314",1,498,963,0.466
"6318",1,447,750,0.304
"6322",1,408,675,0.268
"6326",1,481,755,0.275
"6330",1,386,872,0.487
"6334",1,369,674,0.306
"6338",1,457,648,0.192
"6342",1,523,775,0.253
"6346",1,339,809,0.471
"6350",1,416,694,0.279
"6354",0,0,0,0
"6358",1,440,768,0.329
"6362",1,469,812,0.344
"6366",1,475,731,0.257
"6370",1,472,858,0.387
"6374",0,0,0,0
"6378",1,549,683,0.135
"6382",1,508,704,0.197
"6386",1,465,748,0.284
"6390",1,482,755,0.274
"6394",0,0,0,0
"6398",1,482,816,0.335
"6402",0,0,0,0
"6406",1,465,693,0.229
"6410",0,0,0,0
"6414",1,457,782,0.326
"6418",1,520,691,0.172
"6422",0,0,0,0
"6426",0,0,0,0
"6430",0,0,0,0
"6434",1,543,779,0.237
"6438",1,477,683,0.207
"6442",0,0,0,0
"6446",1,513,717,0.205
"6450",0,0,0,0
"6454",0,0,0,0
"6458",1,476,813,0.338
"6462",1,376,778,0.403
"6466",0,0,0,0
"6470",0,0,0,0
"6474",1,407,722,0.316
"6478",1,594,747,0.154
"6482",1,511,755,0.245
"6486",1,580,745,0.166
"6490",1,545,818,0.274
"6494",0,0,0,0
"6498",1,438,740,0.303
"6502",1,455,711,0.257
"6506",1,465,674,0.21
"6510",0,0,0,0
"6514",1,561,775,0.215
"6518",1,442,690,0.249
"6522",0,0,0,0
"6526",1,433,803,0.371
"6530",1,381,741,0.361
"6534",0,0,0,0
"6538",1,536,764,0.229
"6542",1,535,693,0.159
"6546",1,482,755,0.274
"6550",0,0,0,0
"6554",1,490,832,0.343
"6558",1,560,676,0.117
"6562",0,0,0,0
"6566",0,0,0,0
"6570",1,470,758,0.289
"6574",0,0,0,0
"6578",1,439,598,0.16
"6582",1,596,958,0.363
"6586",0,0,0,0
"6590",-1,73,181,0.109
"6590",1,510,716,0.207
"6594",0,0,0,0
"6598",0,0,0,0
"6602",1,513,823,0.311
"6606",0,0,0,0
"6610",1,487,659,0.173
"6614",1,593,693,0.101
"6618",1,476,690,0.215
"6622",1,514,820,0.307
"6626",1,476,724,0.249
"6630",1,475,812,0.338
"6634",1,489,785,0.297
"6638",1,499,667,0.169
"6642",1,530,771,0.242
"6642",-1,935,975,0.041
"6646",1,486,736,0.251
"6650",0,0,0,0
"6654",1,544,741,0.198
"6658",1,506,764,0.259
"6662",1,525,788,0.264
"6666",1,517,761,0.245
"6670",1,537,682,0.146
"6674",-1,66,281,0.216
"6674",1,512,665,0.154
"6678",1,544,802,0.259
"6682",1,517,767,0.251
"6686",1,495,764,0.27
"6690",1,494,963,0.47
"6694",1,459,630,0.172
"6698",1,544,689,0.146
"6702",1,496,817,0.322
"6706",1,538,751,0.214
"6710",1,514,688,0.175
"6714",1,494,762,0.269
"6718",1,479,740,0.262
"6722",0,0,0,0
"6726",1,547,688,0.142
"6730",0,0,0,0
"6734",1,466,726,0.261
"6738",1,521,753,0.233
"6742",1,590,776,0.187
"6742",-1,945,971,0.027
"6746",1,470,766,0.297
"6750",1,473,812,0.34
"6754",1,483,727,0.245
"6758",1,516,786,0.271
"6762",1,491,856,0.366
"6766",0,0,0,0
"6770",1,496,704,0.209
"6774",1,398,826,0.429
"6778",1,559,765,0.207
"6782",1,385,704,0.32
"6786",1,382,739,0.358
"6790",1,390,844,0.455
"6794",1,444,715,0.272
"6798",1,475,751,0.277
"6802",1,511,747,0.237
"6806",1,540,714,0.175
"6810",1,499,761,0.263
"6814",1,516,768,0.253
"6814",-1,919,977,0.059
"6818",1,404,634,0.231
"6822",0,0,0,0
"6826",1,496,634,0.139
"6830",0,0,0,0
"6834",1,591,686,0.096
"6838",1,443,758,0.316
"6842",1,513,851,0.339
"6846",1,497,768,0.272
"6850",1,398,655,0.258
"6854",1,525,735,0.211
"6858",1,248,788,0.541
"6862",1,512,957,0.446
"6866",1,472,689,0.218
"6870",1,483,678,0.196
"6874",0,0,0,0
"6878",0,0,0,0
"6882",1,543,710,0.168
"6886",1,555,756,0.202
"6890",1,483,785,0.303
"6894",1,533,719,0.187
"6894",-1,910,969,0.06
"6898",1,509,734,0.226
"6902",1,516,759,0.244
"6906",0,0,0,0
"6910",1,444,719,0.276
"6914",1,542,740,0.199
"6918",1,442,699,0.258
"6922",1,472,841,0.37
"6926",1,443,662,0.22
"6930",0,0,0,0
"6934",-1,32,114,0.083
"6934",1,510,697,0.188
"6938",0,0,0,0
"6942",1,604,758,0.155
"6946",1,541,639,0.099
"6950",1,518,736,0.219
"6954",1,447,696,0.25
"6958",0,0,0,0
"6962",-1,33,170,0.138
"6966",1,538,804,0.267
"6970",1,545,755,0.211
"6974",1,427,763,0.337
"6978",1,500,644,0.145
"6982",1,558,755,0.198
"6986",0,0,0,0
"6990",1,371,713,0.343
"6994",-1,73,232,0.16
"6994",1,430,638,0.209
"6998",1,459,814,0.356
"6998",-1,821,966,0.146
"7002",1,511,686,0.176
"7006",1,412,642,0.231
"7010",1,433,809,0.377
"7014",1,30,62,0.033
"7014",-1,144,283,0.14
"7014",1,363,756,0.394
"7018",1,504,649,0.146
"7022",1,560,753,0.194
"7026",1,437,821,0.385
"7030",0,0,0,0
"7034",1,526,757,0.232
"7038",1,482,777,0.296
"7042",1,471,729,0.259
"7046",1,508,783,0.276
"7050",0,0,0,0
"7054",1,527,777,0.251
"7058",1,537,721,0.185
"7062",1,535,749,0.215
"7066",1,641,751,0.111
"7070",1,515,747,0.233
"7074",1,592,704,0.113
"7078",0,0,0,0
"7082",1,517,953,0.437
"7086",1,491,707,0.217
"7090",0,0,0,0
"7094",1,489,868,0.38
"7098",1,547,715,0.169
"7102",1,26,61,0.036
"7102",-1,132,214,0.083
"7102",1,494,653,0.16
"7106",1,468,682,0.215
"7110",1,550,709,0.16
"7114",1,500,697,0.198
"7118",1,542,775,0.234
"7122",0,0,0,0
"7126",1,529,763,0.235
"7130",1,413,697,0.285
"7134",1,570,839,0.27
"7138",1,486,965,0.48
"7142",1,536,792,0.257
"7146",1,490,770,0.281
"7150",1,460,758,0.299
"7154",1,408,733,0.326
"7158",1,611,824,0.214
"7162",0,0,0,0
"7166",0,0,0,0
"7170",1,495,753,0.259
"7174",1,417,754,0.338
"7178",1,489,711,0.223
"7182",0,0,0,0
"7186",0,0,0,0
"7190",1,490,737,0.248
"7194",1,559,855,0.297
"7198",1,493,793,0.301
"7202",1,511,710,0.2
"7206",0,0,0,0
"7210",1,494,753,0.26
"7214",1,549,706,0.158
"7218",1,537,634,0.098
"7222",1,585,754,0.17
"7226",1,587,754,0.168
"7230",0,0,0,0
"7234",1,543,681,0.139
"7238",1,461,753,0.293
"7242",1,496,737,0.242
"7246",0,0,0,0
"7250",1,546,750,0.205
"7254",1,488,709,0.222
"7258",0,0,0,0
"7262",1,481,751,0.271
"7266",1,526,707,0.182
"7270",1,519,701,0.183
"7274",1,450,703,0.254
"7278",1,457,743,0.287
"7282",1,476,635,0.16
"7286",1,560,759,0.2
"7290",0,0,0,0
"7294",1,489,681,0.193
"7298",1,427,715,0.289
"7302",0,0,0,0
"7306",1,483,807,0.325
"7310",1,426,751,0.326
"7314",1,535,808,0.274
"7318",1,486,691,0.206
"7322",1,421,664,0.244
"7326",1,440,697,0.258
"7330",0,0,0,0
"7334",0,0,0,0
"7338",0,0,0,0
"7342",0,0,0,0
"7346",1,534,809,0.276
"7350",1,465,695,0.231
"7354",1,494,842,0.349
"7358",1,486,711,0.226
"7362",0,0,0,0
"7366",0,0,0,0
"7370",1,561,707,0.147
"7374",1,351,739,0.389
"7378",0,0,0,0
"7382",1,498,756,0.259
"7386",1,536,827,0.292
"7390",0,0,0,0
"7394",1,598,791,0.194
"7398",1,424,744,0.321
"7402",1,502,855,0.354
"7406",1,499,749,0.251
"7410",1,491,751,0.261
"7414",1,501,648,0.148
"7418",1,475,689,0.215
"7422",0,0,0,0
"7426",1,489,685,0.197
"7430",0,0,0,0
"7434",1,400,762,0.363
"7438",0,0,0,0
"7442",-1,87,245,0.159
"7442",1,453,676,0.224
"7446",1,520,786,0.267
"7450",1,478,755,0.278
"7454",-1,86,229,0.144
"7454",1,495,654,0.16
"7458",1,493,691,0.199
"7462",1,437,763,0.327
"7466",1,590,735,0.146
"7470",1,485,784,0.3
"7474",1,483,692,0.21
"7478",1,500,648,0.149
"7482",1,525,785,0.261
"7486",1,532,772,0.241
"7490",1,525,798,0.274
"7494",-1,96,203,0.108
"7494",1,475,649,0.175
"7498",1,537,672,0.136
"7502",1,533,749,0.217
"7502",-1,925,970,0.046
"7506",1,395,683,0.289
"7510",0,0,0,0
"7514",1,485,757,0.273
"7518",1,470,781,0.312
"7522",0,0,0,0
"7526",0,0,0,0
"7530",1,573,740,0.168
"7534",1,518,703,0.186
"7538",1,447,666,0.22
"7542",1,533,726,0.194
"7546",1,551,781,0.231
"7550",-1,31,72,0.042
"7550",1,566,658,0.093
"7554",1,411,685,0.275
"7558",1,519,874,0.356
"7562",1,517,730,0.214
"7566",1,428,775,0.348
"7570",1,380,628,0.249
"7574",1,471,762,0.292
"7578",1,446,691,0.246
"7582",1,467,637,0.171
"7586",1,484,596,0.113
"7590",-1,33,246,0.214
"7590",1,495,694,0.2
"7594",1,521,686,0.166
"7598",1,452,692,0.241
"7602",1,450,683,0.234
"7606",0,0,0,0
"7610",0,0,0,0
"7614",1,415,691,0.277
"7618",1,480,721,0.242
"7622",0,0,0,0
"7626",1,440,627,0.188
"7630",0,0,0,0
"7634",1,393,719,0.327
"7638",0,0,0,0
"7642",1,424,704,0.281
"7646",0,0,0,0
"7650",0,0,0,0
"7654",1,578,860,0.283
"7658",0,0,0,0
"7662",1,465,819,0.355
"7666",1,487,849,0.363
"7670",1,487,796,0.31
"7674",1,584,768,0.185
"7674",-1,904,972,0.069
"7678",1,538,743,0.206
"7682",1,507,792,0.286
"7686",1,505,743,0.239
"7690",1,528,699,0.172
"7694",1,488,774,0.287
"7698",1,427,748,0.322
"7702",1,496,703,0.208
"7706",0,0,0,0
"7710",1,592,731,0.14
"7710",-1,905,968,0.064
"7714",0,0,0,0
"7718",1,484,696,0.213
"7722",1,417,786,0.37
"7726",1,353,660,0.308
"7730",1,537,729,0.193
"7734",1,519,716,0.198
"7738",0,0,0,0
"7742",0,0,0,0
"7746",1,523,612,0.09
"7750",1,445,761,0.317
"7754",1,472,747,0.276
"7758",1,490,750,0.261
"7762",1,423,774,0.352
"7766",1,495,741,0.247
"7770",1,473,748,0.276
"7774",-1,113,235,0.123
"7774",1,467,579,0.113
"7778",1,489,674,0.186
"7782",1,495,694,0.2
"7786",1,540,743,0.204
"7790",1,497,679,0.183
"7794",-1,26,61,0.036
"7794",1,427,771,0.345
"7798",1,446,751,0.306
"7802",1,518,757,0.24
"7806",1,529,752,0.224
"7810",1,481,800,0.32
"7814",1,481,775,0.295
"7818",1,413,688,0.276
"7822",0,0,0,0
"7826",1,490,863,0.374
"7830",1,427,814,0.388
"7834",1,591,689,0.099
"7838",1,543,746,0.204
"7842",1,487,723,0.237
"7846",1,489,746,0.258
"7850",1,507,764,0.258
"7854",-1,96,243,0.148
"7854",1,484,747,0.264
"7858",1,484,790,0.307
"7862",1,471,717,0.247
"7866",1,529,700,0.172
"7870",1,460,748,0.289
"7874",1,533,659,0.127
"7878",1,486,788,0.303
"7882",0,0,0,0
"7886",0,0,0,0
"7890",1,488,928,0.441
"7894",1,435,641,0.207
"7898",0,0,0,0
"7902",1,453,747,0.295
"7906",0,0,0,0
"7910",-1,29,119,0.091
"7910",1,323,760,0.438
"7914",0,0,0,0
"7918",1,542,776,0.235
"7922",1,580,788,0.209
"7926",1,438,802,0.365
"7930",1,539,967,0.429
"7934",1,428,662,0.235
"7938",1,470,750,0.281
"7938",-1,855,969,0.115
"7942",1,421,743,0.323
"7946",1,499,697,0.199
"7950",0,0,0,0
"7954",1,480,646,0.167
"7958",0,0,0,0
"7962",1,458,767,0.31
"7966",0,0,0,0
"7970",0,0,0,0
"7974",1,554,704,0.151
"7978",1,525,750,0.226
"7982",0,0,0,0
"7986",0,0,0,0
"7990",1,545,636,0.092
"7994",0,0,0,0
"7998",1,582,742,0.161
"6003",1,374,753,0.38
"6007",-1,34,115,0.082
"6007",1,432,723,0.292
"6011",1,422,826,0.405
"6015",0,0,0,0
"6019",1,427,754,0.328
"6023",0,0,0,0
"6027",0,0,0,0
"6031",0,0,0,0
"6035",1,422,960,0.539
"6039",0,0,0,0
"6043",0,0,0,0
"6047",1,424,796,0.373
"6051",1,390,750,0.361
"6055",1,548,752,0.205
"6059",0,0,0,0
"6063",1,411,771,0.361
"6067",0,0,0,0
"6071",0,0,0,0
"6075",1,424,767,0.344
"6079",1,421,728,0.308
"6083",0,0,0,0
"6087",0,0,0,0
"6091",0,0,0,0
"6095",1,433,639,0.207
"6099",1,550,750,0.201
"6103",1,499,957,0.459
"6107",0,0,0,0
"6111",1,358,822,0.465
"6115",0,0,0,0
"6119",0,0,0,0
"6123",0,0,0,0
"6127",1,483,758,0.276
"6131",1,371,801,0.431
"6135",1,529,815,0.287
"6139",1,523,834,0.312
"6143",1,503,893,0.391
"6147",0,0,0,0
"6151",1,387,798,0.412
"6155",1,439,725,0.287
"6159",1,446,814,0.369
"6163",0,0,0,0
"6167",1,538,839,0.302
"6171",0,0,0,0
"6175",1,501,711,0.211
"6179",0,0,0,0
"6183",1,385,688,0.304
"6187",1,424,732,0.309
"6191",1,443,741,0.299
"6195",1,398,749,0.352
"6199",0,0,0,0
"6203",0,0,0,0
"6207",0,0,0,0
"6211",-1,37,219,0.183
"6211",1,420,693,0.274
"6215",0,0,0,0
"6219",0,0,0,0
"6223",0,0,0,0
"6227",0,0,0,0
"6231",-1,25,282,0.258
"6231",1,439,672,0.234
"6235",1,433,800,0.368
"6239",1,299,700,0.402
"6243",0,0,0,0
"6247",1,413,771,0.359
"6251",0,0,0,0
"6255",0,0,0,0
"6259",1,489,797,0.309
"6263",1,510,832,0.323
"6267",1,524,819,0.296
"6271",0,0,0,0
"6275",0,0,0,0
"6279",1,404,710,0.307
"6283",1,444,597,0.154
"6287",1,417,866,0.45
"6291",1,431,751,0.321
"6295",1,499,863,0.365
"6299",0,0,0,0
"6303",1,481,750,0.27
"6307",1,364,734,0.371
"6311",1,472,693,0.222
"6315",1,329,647,0.319
"6319",1,408,764,0.357
"6323",0,0,0,0
"6327",0,0,0,0
"6331",1,309,715,0.407
"6335",1,588,704,0.117
"6339",0,0,0,0
"6343",1,479,608,0.13
"6347",1,452,743,0.292
"6351",0,0,0,0
"6355",1,396,744,0.349
"6359",0,0,0,0
"6363",1,415,694,0.28
"6367",1,462,726,0.265
"6371",0,0,0,0
"6375",0,0,0,0
"6379",0,0,0,0
"6383",0,0,0,0
"6387",0,0,0,0
"6391",1,305,744,0.44
"6395",0,0,0,0
"6399",1,438,826,0.389
"6403",1,494,738,0.245
"6407",0,0,0,0
"6411",0,0,0,0
"6415",0,0,0,0
"6419",0,0,0,0
"6423",-1,61,402,0.342
"6423",1,481,637,0.157
"6427",0,0,0,0
"6431",1,378,778,0.401
"6435",0,0,0,0
"6439",0,0,0,0
"6443",1,395,802,0.408
"6447",0,0,0,0
"6451",0,0,0,0
"6455",1,512,713,0.202
"6459",1,389,808,0.42
"6463",1,438,834,0.397
"6467",1,523,727,0.205
"6471",1,466,959,0.494
"6475",1,416,743,0.328
"6479",1,476,811,0.336
"6483",0,0,0,0
"6487",1,418,775,0.358
"6491",1,33,102,0.07
"6495",0,0,0,0
"6499",1,410,811,0.402
"6503",1,33,119,0.087
"6503",-1,139,398,0.26
"6503",1,602,781,0.18
"6507",0,0,0,0
"6511",0,0,0,0
"6515",1,393,575,0.183
"6519",1,228,773,0.546
"6523",1,395,640,0.246
"6527",1,526,916,0.391
"6531",1,487,845,0.359
"6535",1,313,706,0.394
"6539",1,594,779,0.186
"6543",1,432,738,0.307
"6547",0,0,0,0
"6551",1,479,744,0.266
"6555",1,527,801,0.275
"6559",0,0,0,0
"6563",0,0,0,0
"6567",1,426,686,0.261
"6571",0,0,0,0
"6575",1,529,738,0.21
"6579",0,0,0,0
"6583",0,0,0,0
"6587",1,491,792,0.302
"6591",1,534,745,0.212
"6595",1,541,762,0.222
"6599",0,0,0,0
"6603",0,0,0,0
"6607",-1,34,118,0.085
"6611",1,506,698,0.193
"6615",1,507,923,0.417
"6619",1,490,782,0.293
"6623",1,522,964,0.443
"6627",1,525,746,0.222
"6631",0,0,0,0
"6635",0,0,0,0
"6639",1,547,814,0.268
"6643",-1,58,223,0.166
"6643",1,296,638,0.343
"6647",0,0,0,0
"6651",1,398,734,0.337
"6655",1,468,639,0.172
"6659",1,493,711,0.219
"6663",1,527,774,0.248
"6667",1,424,737,0.314
"6671",0,0,0,0
"6675",0,0,0,0
"6679",0,0,0,0
"6683",1,425,731,0.307
"6687",1,556,681,0.126
"6691",0,0,0,0
"6695",1,543,925,0.383
"6699",0,0,0,0
"6703",0,0,0,0
"6707",1,452,799,0.348
"6711",1,394,751,0.358
"6715",1,420,767,0.348
"6719",0,0,0,0
"6723",0,0,0,0
"6727",1,470,742,0.273
"6731",1,479,589,0.111
"6735",0,0,0,0
"6739",1,667,734,0.068
"6743",0,0,0,0
"6747",0,0,0,0
"6751",0,0,0,0
"6755",0,0,0,0
"6759",1,320,652,0.333
"6763",0,0,0,0
"6767",1,562,682,0.121
"6767",-1,814,913,0.1
"6767",1,920,976,0.057
"6771",0,0,0,0
"6775",0,0,0,0
"6779",0,0,0,0
"6783",0,0,0,0
"6787",0,0,0,0
"6791",1,313,587,0.275
"6795",0,0,0,0
"6799",0,0,0,0
"6803",0,0,0,0
"6807",1,467,771,0.305
"6811",1,523,635,0.113
"6815",0,0,0,0
"6819",0,0,0,0
"6823",1,490,958,0.469
"6827",1,759,960,0.202
"6831",0,0,0,0
"6835",1,668,960,0.293
"6839",1,423,782,0.36
"6843",1,488,731,0.244
"6847",1,477,812,0.336
"6851",1,434,748,0.315
"6855",1,478,807,0.33
"6859",-1,34,112,0.079
"6863",1,390,650,0.261
"6867",0,0,0,0
"6871",0,0,0,0
"6875",0,0,0,0
"6879",0,0,0,0
"6883",0,0,0,0
"6887",0,0,0,0
"6891",1,517,809,0.293
"6895",0,0,0,0
"6899",1,526,957,0.432
"6903",1,561,712,0.152
"6907",1,379,849,0.471
"6911",0,0,0,0
"6915",0,0,0,0
"6919",1,492,820,0.329
"6923",1,451,741,0.291
"6927",1,493,694,0.202
"6931",1,487,706,0.22
"6935",0,0,0,0
"6939",1,371,760,0.39
"6943",0,0,0,0
"6947",0,0,0,0
"6951",0,0,0,0
"6955",1,493,703,0.211
"6959",1,485,651,0.167
"6963",0,0,0,0
"6967",1,373,744,0.372
"6971",0,0,0,0
"6975",0,0,0,0
"6979",1,315,695,0.381
"6983",1,448,677,0.23
"6987",1,431,636,0.206
"6991",0,0,0,0
"6995",0,0,0,0
"6999",-1,72,224,0.153
"6999",1,459,633,0.175
"7003",0,0,0,0
"7007",0,0,0,0
"7011",1,363,653,0.291
"7015",1,570,754,0.185
"7019",0,0,0,0
"7023",0,0,0,0
"7027",0,0,0,0
"7031",1,475,753,0.279
"7035",1,425,733,0.309
"7039",0,0,0,0
"7043",0,0,0,0
"7047",1,515,689,0.175
"7051",0,0,0,0
"7055",0,0,0,0
"7059",0,0,0,0
"7063",0,0,0,0
"7067",0,0,0,0
"7071",0,0,0,0
"7075",0,0,0,0
"7079",1,365,735,0.371
"7083",0,0,0,0
"7087",1,443,676,0.234
"7091",0,0,0,0
"7095",1,525,808,0.284
"7099",0,0,0,0
"7103",1,455,794,0.34
"7107",1,600,763,0.164
"7111",1,545,962,0.418
"7115",-1,170,281,0.112
"7115",1,445,710,0.266
"7119",1,478,742,0.265
"7123",1,90,621,0.532
"7127",1,401,859,0.459
"7131",1,509,820,0.312
"7135",1,535,803,0.269
"7139",1,466,662,0.197
"7143",0,0,0,0
"7147",0,0,0,0
"7151",1,410,695,0.286
"7155",1,478,730,0.253
"7159",1,534,820,0.287
"7163",0,0,0,0
"7167",0,0,0,0
"7171",1,452,799,0.348
"7175",0,0,0,0
